,City_name,Clouds,Humidity,Latitude,Longitude,Temperature,Wind
500,ocampo,92,87,13.56,123.37,79.02,15.57
501,porto novo,40,51,-23.68,-45.44,84.2,3.36
502,sarandi,0,45,-27.94,-52.92,84.43,7.4
503,alofi,100,100,-19.06,-169.92,75.2,5.82
504,abha,0,77,18.22,42.5,68.0,6.93
505,fuerte olimpo,0,51,-21.04,-57.87,92.89,8.75
506,starokorsunskaya,0,54,45.05,39.31,59.0,8.95
507,northport,90,76,33.23,-87.58,51.8,12.75
508,victor harbor,0,42,-35.55,138.62,64.4,11.41
509,izumo,75,100,35.37,132.75,39.2,10.29
510,jalpan,0,22,19.0,-100.36,77.22,3.15
511,fort nelson,20,43,58.81,-122.69,14.0,3.36
512,launceston,88,81,-41.43,147.14,53.6,9.17
513,poum,0,82,41.28,20.71,48.52,1.7
514,taoudenni,8,11,22.68,-3.98,94.69,3.71
515,manaure,20,62,11.78,-72.45,86.0,16.11
516,zimovniki,0,82,47.15,42.46,46.08,4.61
517,vire,92,93,48.84,-0.89,53.6,4.7
518,baruun-urt,8,70,46.68,113.28,17.29,2.93
519,paamiut,76,100,61.99,-49.67,30.42,17.47
520,elizabeth city,90,93,36.3,-76.22,50.0,21.92
521,behshahr,75,81,36.69,53.54,53.6,4.7
522,fairview,90,30,40.81,-74.0,44.6,9.17
523,bissora,0,62,12.22,-15.45,84.2,11.41
524,brest,0,50,52.09,23.69,46.72,9.64
525,kalevala,44,74,64.12,29.58,30.97,9.64
526,alice springs,0,42,-23.7,133.88,62.6,4.7
527,malinyi,20,93,-8.94,36.14,73.35,2.26
528,stepantsevo,48,81,56.13,41.7,35.47,23.85
529,mulege,0,31,26.88,-111.98,81.64,2.93
530,bandiagara,0,16,14.35,-3.61,99.19,4.05
531,conceicao do araguaia,32,95,-8.26,-49.26,83.97,4.27
532,ronne,0,67,48.45,0.83,62.6,9.17
533,pula,75,62,-1.95,-79.93,84.2,3.36
534,ciudad bolivar,68,41,8.12,-63.55,92.89,9.75
535,pangnirtung,20,61,66.15,-65.72,12.2,11.41
536,ossora,56,90,59.24,163.07,16.75,3.27
537,podzvizd,0,58,45.18,15.86,55.4,8.05
538,chateaubelair,75,70,13.28,-61.25,84.2,19.46
539,deputatskiy,8,86,69.3,139.9,9.37,5.95
540,matara,40,62,-13.74,-72.9,57.2,2.48
541,jinchang,12,55,38.52,102.19,23.13,3.15
542,sussex,75,69,45.72,-65.51,39.2,12.75
543,brosteni,0,71,47.24,25.7,53.6,3.36
544,takaka,44,100,-40.86,172.81,54.37,3.38
545,sidi ali,92,76,36.1,0.42,57.25,16.8
546,honningsvag,88,99,70.98,25.97,30.25,7.18
547,bilma,0,14,18.69,12.92,80.37,6.62
548,smithers,90,79,54.78,-127.17,28.4,2.24
549,mount barker,0,42,-35.06,138.86,64.4,11.41
550,atyrau,0,81,47.1,51.92,42.8,4.47
551,planaltina,40,57,-15.62,-47.66,78.8,5.82
552,kulhudhuffushi,0,100,6.62,73.07,84.87,3.71
